Estacion,Estacion_homologada,Troncal,Rutas_Disponibles,Entradas,Salidas
Toberín,(02101)Toberin - Foundever,B,24,28006,31049
Ricaurte,(07111)NQS - RICAURTE,F,22,11026,13401
AV. Jiménez,(09110)Avenida Jimenez,A,21,33876,36010
Calle 19,(09111)Calle 19,A,19,10532,17035
Alcalá,(02200)AlcalÃ¡ â€“ Colegio S. TomÃ¡s Dominicos,B,18,24345,22648
Banderas,(05100)Banderas P. Central,F,18,38590,47233
Héroes – Gelhada,(02304)Heroes - Gel hada,B,18,16040,14414
Avenida 39,(09116)Avenida 39,A,17,9265,11915
Calle 34,(09115)Calle 34 - Fondo Nacional de Garantias,A,17,23025,27950
Calle 40 S.,(09100)Calle 40 Sur,H,17,9700,13324
Calle 45 - American School Way,(09117)Calle 45,A,17,21805,25527
Calle 146,(02104)Calle 146,B,16,14088,14625
Calle 57,(09119)Calle 57,A,16,30816,37603
Calle 76 - San Felipe,(09123)Calle 76 - San Felipe,A,16,27290,36465
Calle 85,(02303)Calle 85,B,16,16973,18688
Polo - Fincomercio,(04108)Polo â€“  FINCOMERCIO,D,16,8601,6950
Prado,(02201)Prado,B,16,10732,11738
Suba - TV. 91,(03002)SUBA - TV- 91,C,16,16361,19290
Virrey,(02302)Virrey,B,16,17376,19053
Avenida 1° de Mayo,(10002)Av. Primero de Mayo,L,14,18585,26125
Calle 100,(02300)Calle 100 - Marketmedios,B,14,43493,49640
Calle 127,(02202)Calle 127,B,14,20575,24493
Calle 142,(02105)Calle 142,B,14,11602,11367
Granja - Carrera 77,(04100)Carrera 77,D,14,7860,9827
Pepe Sierra,(02204)Pepe Sierra,B,14,16733,18334
Puentelargo,(03010)PUENTE LARGO,C,14,7177,7287
Salitre - El Greco,(06102)Salitre El Greco,K,14,6548,8705
Tercer Milenio,(09109)Tercer Milenio,A,14,6705,11183
Universidad Nacional,(07107)U. NACIONAL,E,14,15149,19998
AV. Chile,(07103)AV. CHILE,E,12,14953,18249
Biblioteca Tintal,(05002)Tintal,F,12,18027,22348
Calle 22,(09113)Calle 22,A,12,5426,9750
CAN,(06103)CAN,K,12,6253,11085
Ciudad Universitaria - Lotería de Bogotá,(06107)Ciudad Universitaria - Loteria de Bogota,K,12,7256,6877
Corferias,(06106)Recinto Ferial,K,12,6498,9629
El Tiempo - Cámara de Comercio de Bogotá,(06101)El Tiempo - Camara de Comercio de Bogota,K,12,9183,14364
Escuela Militar,(04107)Escuela Militar,D,12,1313,1448
Flores - Areandina,(09121)Flores â€“ Areandina,A,12,31706,39439
General Santander,(07006)General Santander,G,12,8060,9112
Guatoque - Veraguas,(07201)Guatoque -Veraguas,E,12,4949,7355
Paloquemao,(07110)PALOQUEMAO,E,12,14602,17734
Restrepo,(09104)Restrepo,H,12,13333,18903
San Diego,(10008)San Diego,L,12,5647,6952
7 de Agosto,(07104)7 de Agosto,E,12,10451,13958
Portal del Norte,(02000)Cabecera Autopista Norte,B,11,74033,81154
21 Ángeles,(03003)21 ANGELES,C,10,2806,3075
AV. Américas - AV. Boyacá,(05102)Av. AmÃ©ricas - Av. BoyacÃ¡,F,10,6124,7685
AV. Rojas - UNISALESIANA,(06100)Av. Rojas â€“ UNISALESIANA,K,10,6268,11474
Avenida 68,(04104)Avenida 68,D,10,10676,11794
Avenida Cali,(04003)Avenida Ciudad de Cali,D,10,10079,7214
Bicentenario,(10005)Bicentenario,L,10,5810,11407
Calle 106,(02205)Calle 106,B,10,14114,14672
Calle 161,(02102)Calle 161,B,10,5685,6107
Campín – Universidad Antonio Nariño,(07106)EL CAMPIN,E,10,13961,15093
Carrera 47,(04106)Carrera 47,D,10,3189,3412
Movistar Arena,(07105)MOVISTAR ARENA,E,10,10157,11210
Concejo de Bogotá,(06108)Concejo de BogotÃ¡,K,10,2487,3218
Country Sur,(10001)Country Sur,L,10,12630,10965
Gobernación,(06104)GobernaciÃ³n,K,10,3733,7159
Hortúa,(09107)HortÃºa,H,10,7734,10373
Marsella,(05103)Marsella,F,10,7344,9408
Minuto De Dios,(04101)Minuto de Dios,D,10,6093,6806
Modelia,(06001)Modelia,K,10,5992,7470
Niza - CL 127,(03006)NIZA - CALLE 127,C,10,12648,14828
NQS – Calle 75,(07102)Calle 75 - Zona M,E,10,6543,7298
Quinta Paredes,(06105)Quinta Paredes,K,10,2808,5340
Santa Isabel,(07113)SANTA ISABEL,G,10,10160,11528
Santa Lucía,(09004)Santa LucÃ­a,H,10,10739,13757
Tygua - San José,(07200)Tygua-San JosÃ©,E,10,6962,14800
Molinos,(09001)Molinos,H,10,13820,18892
CAD,(07109)CAD,E,9,14786,15947
Fucha,(09105)RÃ­o Fucha,H,9,6944,9074
Alquería,(07005)ALQUERIA,G,8,7954,10094
Boyacá,(04102)Avenida Boyaca,D,8,11508,12468
Calle 187,(02001)Centro Comercial Santa Fe,B,8,9018,10112
Carrera 90,(04002)Carrera 90,D,8,6761,6338
Comuneros,(07112)COMUNEROS,G,8,11079,13620
Madelena,(07002)MADELENA,G,8,9208,8916
Mandalay,(05101)Mandalay - Cr.73,F,8,2232,1880
Mazurén,(02103)MazurÃ©n,B,8,7601,8070
Museo Nacional,(10009)Museo Nacional - FNG,M,8,17783,17204
Nariño,(09106)NariÃ±o,H,8,4677,5664
NQS – CL 30 S.,(07008)NQS - Calle 30 Sur,G,8,5241,6612
Perdomo,(07001)PERDOMO,G,8,7614,8435
Portal Américas,(05000)Portal AmÃ©ricas,F,8,76861,84913
Portal Eldorado,(07108)Av. El Dorado,K,12,7904,8257
Portal Suba,(03000)Portal Suba,C,8,57725,70467
Rionegro,(03013)RIO NEGRO,C,8,4839,5001
San Bernardo,(10010)San Bernardo,L,8,6308,6547
San Martín,(03014)SAN MARTIN,C,8,1280,1252
San Victorino,(10006)SAN VICTORINO - NEOS CENTRO,L,8,18920,27189
Suba - AV. Boyacá,(03005)SUBA - AV. BOYACA,C,8,7988,8590
Suba - CL 95,(03012)SUBA - CALLE 95,C,8,8756,8839
Terminal,(02502)Terminal,B,8,13108,15415
Transversal 86,(05005)Transversal 86,F,8,6837,6203
Venecia,(07004)VENECIA,G,8,9527,11102
Zona Industrial,(12007)Zona Industrial,F,8,6719,9230
Consuelo,(09002)Consuelo,H,8,2252,3144
Danubio,(09005)Danubio,H,8,3573,3195
Olaya,(09103)Olaya,H,7,7770,8028
Portal de la 80,(04000)Cabecera Calle 80,D,7,58772,65989
Portal del Sur,(07000)Portal Sur JFK Coop. Financiera,G,7,54890,70208
CDS - Carrera 32,(12002)CDS - Carrera 32,F,6,3021,4781
Centro Memoria,(06109)Centro Memoria,K,6,5378,6795
De La Sabana,(14001)La Sabana,F,6,6182,9260
Ferias,(04103)Las Ferias,D,6,3870,4116
La Campiña,(03001)LA CAMPIÃ‘A,C,6,5184,4191
Las Nieves,(10007)Las Nieves,L,6,10853,12924
Normandía,(06002)NormandÃ­a,K,6,6642,8398
NQS – CL 38A S.,(07007)NQS - Calle 38A Sur,G,6,8546,11655
Portal 20 de Julio,(10000)Portal 20 de Julio,L,6,33199,48220
Pradera - Plaza Central,(05105)Pradera â€“ Plaza Central,F,6,14645,19422
Puente Aranda,(12000)Puente Aranda,F,6,3168,4531
Quirigua,(04001)Quirigua,D,6,4350,5033
Quiroga,(09101)Quiroga,H,6,4465,6910
Sevillana,(07003)SEVILLANA,G,6,4413,4489
Suba - CL 100,(03011)SUBA - CALLE 100,C,6,8161,7976
Socorro,(09003)Socorro,H,6,1691,2596
Portal Usme,(09000)Cabecera Usme,H,6,41883,56820
Portal del Tunal,(08000)Portal Tunal,H,5,44058,57350
Universidades - City U,(06111)Universidades â€“ CityU,K,5,8665,8137
Museo del Oro,(14004)Museo del Oro,J,5,14238,16998
Biblioteca,(08002)Biblioteca,H,4,2719,3308
Carrera 43 - COMAPAN,(12001)Carrera 43 - COMAPAN,F,4,4553,7160
Carrera 53,(04105)Carrera 53,D,4,4277,4121
Ciudad Jardín - UAN,(10003)Ciudad JardÃ­n,L,4,2995,3393
Gratamira,(03004)GRATAMIRA,C,4,1066,1337
Hospital,(09108)Hospital,H,4,1029,1965
Humedal Córdoba,(03007)HUMEDAL CORDOBA,C,4,2331,2450
Parque,(08001)Parque el Tunal,H,4,2750,3523
Policarpa,(10004)Policarpa,L,4,3635,4558
San Facon - KR. 22,(12004)Carrera 22,F,4,8582,10826
Las Aguas,(14005)Las Aguas - Centro Colombo Americano,J,2,12353,13620
